Obs,State,Date,Total Assets - All Institutions,Total Assets - Assets Less Than $1 Billion,Total Assets - Assets Greater Than $1 Billion,Earning Assets - All Institutions,Earning Assets - Assets Less Than $1 Billion,Earning Assets - Assets Greater Than $1 Billion,Total Loans & Leases - All Institutions,Total Loans & Leases - Assets Less Than $1 Billion,Total Loans & Leases - Assets Greater Than $1 Billion,Other Real Estate Owned - All Institutions,Other Real Estate Owned - Assets Less Than $1 Billion,Other Real Estate Owned - Assets Greater Than $1 Billion,Total Deposits - All Institutions,Total Deposits - Assets Less Than $1 Billion,Total Deposits - Assets Greater Than $1 Billion,Equity Capital - All Institutions,Equity Capital - Assets Less Than $1 Billion,Equity Capital - Assets Greater Than $1 Billion,Net Income (year-to-date) - All Institutions,Net Income (year-to-date) - Assets Less Than $1 Billion,Net Income (year-to-date) - Assets Greater Than $1 Billion,Net Interest Income - All Institutions,Net Interest Income - Assets Less Than $1 Billion,Net Interest Income - Assets Greater Than $1 Billion,Provisions for Credit Losses - All Institutions,Provisions for Credit Losses - Assets Less Than $1 Billion,Provisions for Credit Losses - Assets Greater Than $1 Billion,Noninterest Income - All Institutions,Noninterest Income - Assets Less Than $1 Billion,Noninterest Income - Assets Greater Than $1 Billion,Net Charge-Offs - All Institutions,Net Charge-Offs - Assets Less Than $1 Billion,Net Charge-Offs - Assets Greater Than $1 Billion
1,California,06/30/2022,906720.0,19245.0,887475.0,854499.0,18236.0,836264.0,544891.0,13375.0,531516.0,69.0,20.0,49.0,780715.0,16176.0,764539.0,84812.0,2436.0,82376.0,4790.0,107.0,4684.0,11860.0,333.0,11527.0,271.0,7.0,264.0,2134.0,35.0,2100.0,76.0,1.0,75.0
2,California,09/30/2022,911610.0,18373.0,893236.0,857385.0,17384.0,840001.0,561281.0,12697.0,548584.0,81.0,20.0,61.0,770663.0,15599.0,755064.0,82820.0,2249.0,80572.0,7432.0,169.0,7264.0,18417.0,490.0,17926.0,486.0,9.0,477.0,3218.0,46.0,3172.0,135.0,3.0,132.0
3,California,12/31/2022,916798.0,20290.0,896508.0,862708.0,19168.0,843540.0,577635.0,14531.0,563104.0,80.0,21.0,59.0,759541.0,16813.0,742727.0,84402.0,2643.0,81760.0,9010.0,227.0,8783.0,24847.0,752.0,24095.0,776.0,34.0,743.0,4324.0,67.0,4257.0,244.0,16.0,228.0
4,California,03/31/2023,637181.0,19398.0,617783.0,598384.0,18329.0,580056.0,449751.0,13995.0,435756.0,74.0,19.0,55.0,425159.0,15943.0,409216.0,59675.0,2517.0,57158.0,-231.0,62.0,-293.0,4212.0,196.0,4016.0,143.0,4.0,138.0,542.0,15.0,527.0,102.0,4.0,98.0
5,California,06/30/2023,398734.0,19771.0,378963.0,373204.0,18669.0,354536.0,271951.0,14226.0,257724.0,77.0,19.0,58.0,322004.0,16196.0,305808.0,41599.0,2574.0,39025.0,185.0,118.0,67.0,6380.0,388.0,5992.0,221.0,8.0,213.0,459.0,30.0,429.0,164.0,7.0,157.0
6,California,09/30/2023,396708.0,20882.0,375827.0,370705.0,19743.0,350962.0,271536.0,14302.0,257235.0,106.0,19.0,87.0,321663.0,17068.0,304595.0,41478.0,2841.0,38637.0,1260.0,-377.0,1637.0,9382.0,620.0,8762.0,325.0,69.0,256.0,856.0,-61.0,917.0,280.0,72.0,208.0
7,California,12/31/2023,397310.0,21413.0,375898.0,370979.0,20232.0,350747.0,277937.0,15394.0,262544.0,122.0,23.0,100.0,320783.0,17168.0,303615.0,44376.0,3103.0,41274.0,1547.0,-339.0,1886.0,12332.0,845.0,11487.0,509.0,95.0,414.0,1238.0,-42.0,1279.0,373.0,78.0,295.0
8,California,03/31/2024,388502.0,20690.0,367812.0,362675.0,19596.0,343079.0,270551.0,15003.0,255547.0,138.0,27.0,111.0,317675.0,16590.0,301085.0,43880.0,3036.0,40844.0,818.0,12.0,805.0,2923.0,187.0,2736.0,97.0,5.0,92.0,399.0,18.0,381.0,97.0,22.0,75.0
9,California,06/30/2024,389844.0,18566.0,371278.0,363345.0,17538.0,345807.0,272934.0,13826.0,259108.0,150.0,21.0,129.0,320827.0,15137.0,305690.0,44466.0,2596.0,41871.0,1799.0,83.0,1717.0,5849.0,339.0,5510.0,243.0,9.0,235.0,765.0,32.0,733.0,241.0,28.0,213.0
10,California,09/30/2024,388786.0,19968.0,368818.0,362601.0,18754.0,343848.0,271222.0,14377.0,256845.0,147.0,12.0,135.0,322402.0,16038.0,306364.0,45762.0,2766.0,42997.0,2714.0,126.0,2589.0,8783.0,530.0,8253.0,387.0,26.0,361.0,1035.0,63.0,972.0,329.0,39.0,289.0
11,California,12/31/2024,372092.0,20314.0,351778.0,348469.0,19276.0,329194.0,260536.0,14856.0,245681.0,169.0,10.0,159.0,310164.0,16797.0,293367.0,42763.0,2797.0,39966.0,3530.0,179.0,3352.0,11195.0,730.0,10465.0,570.0,21.0,549.0,1362.0,63.0,1299.0,490.0,31.0,459.0
12,Massachusetts,12/31/2022,490076.0,22692.0,467384.0,422587.0,21329.0,401257.0,174585.0,16587.0,157998.0,1.0,1.0,1.0,399632.0,19053.0,380579.0,46308.0,2354.0,43954.0,4381.0,167.0,4214.0,8374.0,656.0,7717.0,210.0,6.0,205.0,9891.0,181.0,9710.0,98.0,1.0,97.0
13,New York,06/30/2022,1444611.0,12873.0,1431738.0,1295498.0,12128.0,1283370.0,557528.0,7514.0,550014.0,65.0,2.0,63.0,1149599.0,11098.0,1138501.0,136991.0,1419.0,135572.0,4828.0,46.0,4782.0,10563.0,185.0,10378.0,1400.0,2.0,1398.0,9316.0,28.0,9288.0,316.0,1.0,315.0
14,New York,09/30/2022,1428711.0,12109.0,1416602.0,1275486.0,11352.0,1264134.0,564942.0,7229.0,557714.0,56.0,2.0,54.0,1132734.0,10387.0,1122347.0,138257.0,1343.0,136913.0,8002.0,75.0,7927.0,17255.0,270.0,16985.0,2026.0,5.0,2022.0,13779.0,38.0,13741.0,587.0,3.0,583.0
15,New York,12/31/2022,1316667.0,12822.0,1303845.0,1185967.0,12071.0,1173895.0,522545.0,7961.0,514584.0,57.0,2.0,55.0,1053579.0,10839.0,1042740.0,134196.0,1433.0,132763.0,10356.0,110.0,10246.0,23356.0,405.0,22951.0,3043.0,7.0,3036.0,18210.0,56.0,18154.0,889.0,5.0,884.0
16,New York,03/31/2023,1231050.0,13240.0,1217810.0,1087439.0,12486.0,1074954.0,446850.0,8165.0,438685.0,60.0,2.0,58.0,939515.0,11186.0,928329.0,129819.0,1492.0,128327.0,3660.0,31.0,3629.0,6632.0,112.0,6520.0,2.0,1.0,1.0,4434.0,13.0,4422.0,337.0,1.0,336.0
17,New York,06/30/2023,1268352.0,12980.0,1255373.0,1128252.0,12217.0,1116035.0,449389.0,8279.0,441110.0,53.0,2.0,51.0,981738.0,10914.0,970824.0,130809.0,1505.0,129304.0,6855.0,64.0,6790.0,13256.0,225.0,13031.0,921.0,2.0,919.0,9293.0,26.0,9266.0,839.0,1.0,838.0
18,New York,09/30/2023,1273431.0,13292.0,1260139.0,1133187.0,12448.0,1120739.0,454683.0,8374.0,446309.0,47.0,2.0,45.0,981273.0,11109.0,970164.0,132288.0,1509.0,130779.0,10216.0,95.0,10121.0,19586.0,337.0,19249.0,1107.0,3.0,1104.0,14698.0,40.0,14659.0,1325.0,2.0,1324.0
19,New York,12/31/2023,1256549.0,13096.0,1243453.0,1123761.0,12326.0,1111435.0,461255.0,8479.0,452776.0,43.0,2.0,41.0,992364.0,10777.0,981587.0,134207.0,1573.0,132633.0,12688.0,120.0,12568.0,25524.0,449.0,25075.0,2006.0,8.0,1998.0,19862.0,55.0,19807.0,1901.0,3.0,1898.0
20,New York,03/31/2024,1316347.0,13447.0,1302900.0,1167945.0,12672.0,1155273.0,471908.0,8470.0,463438.0,44.0,2.0,42.0,1021364.0,11223.0,1010141.0,136968.0,1600.0,135368.0,3842.0,30.0,3812.0,5980.0,109.0,5871.0,601.0,2.0,599.0,6303.0,15.0,6288.0,529.0,2.0,527.0
21,New York,06/30/2024,1300383.0,13231.0,1287152.0,1158376.0,12451.0,1145925.0,470400.0,8518.0,461882.0,37.0,2.0,35.0,1000309.0,10954.0,989354.0,140278.0,1623.0,138654.0,7962.0,58.0,7905.0,12083.0,221.0,11862.0,1134.0,6.0,1129.0,12238.0,30.0,12209.0,1133.0,5.0,1128.0
22,New York,09/30/2024,1323063.0,13515.0,1309549.0,1173742.0,12694.0,1161049.0,480218.0,8582.0,471636.0,34.0,1.0,33.0,1017528.0,11162.0,1006365.0,144852.0,1690.0,143162.0,11801.0,88.0,11713.0,18327.0,332.0,17995.0,1850.0,8.0,1842.0,18041.0,46.0,17996.0,1784.0,5.0,1779.0
23,New York,12/31/2024,1302991.0,12706.0,1290285.0,1166949.0,11926.0,1155024.0,488143.0,8543.0,479600.0,51.0,2.0,50.0,1008478.0,10421.0,998057.0,145600.0,1618.0,143981.0,15374.0,101.0,15273.0,25644.0,434.0,25210.0,2431.0,11.0,2420.0,22804.0,61.0,22743.0,2450.0,9.0,2440.0
24,North Carolina,12/31/2022,702191.0,7537.0,694655.0,609196.0,7082.0,602114.0,430785.0,4858.0,425927.0,159.0,4.0,155.0,556063.0,6484.0,549579.0,73956.0,797.0,73159.0,7887.0,83.0,7803.0,19038.0,251.0,18787.0,1507.0,3.0,1504.0,10074.0,37.0,10037.0,1169.0,-2.0,1171.0
25,Texas,06/30/2022,884628.0,58839.0,825789.0,841964.0,55518.0,786446.0,291087.0,34007.0,257080.0,111.0,20.0,91.0,800516.0,52706.0,747810.0,61704.0,5025.0,56679.0,4278.0,316.0,3962.0,9123.0,929.0,8194.0,135.0,34.0,102.0,2015.0,179.0,1837.0,51.0,11.0,40.0
26,Texas,09/30/2022,831605.0,57894.0,773711.0,785867.0,54706.0,731161.0,296206.0,33852.0,262354.0,118.0,11.0,106.0,754082.0,51879.0,702203.0,51332.0,4774.0,46557.0,6873.0,519.0,6354.0,14441.0,1416.0,13026.0,264.0,47.0,217.0,3107.0,263.0,2843.0,89.0,12.0,77.0
27,Texas,12/31/2022,839232.0,57857.0,781375.0,791057.0,54502.0,736555.0,301338.0,34871.0,266467.0,97.0,13.0,85.0,738995.0,51474.0,687521.0,51260.0,4998.0,46261.0,9524.0,713.0,8810.0,20015.0,1943.0,18072.0,468.0,68.0,400.0,4349.0,346.0,4003.0,134.0,20.0,114.0
28,Texas,03/31/2023,847536.0,57643.0,789893.0,799307.0,54477.0,744830.0,307291.0,34989.0,272301.0,92.0,9.0,83.0,685556.0,50575.0,634981.0,56129.0,5234.0,50895.0,1860.0,198.0,1663.0,4881.0,516.0,4365.0,134.0,12.0,121.0,922.0,80.0,842.0,36.0,2.0,33.0
29,Texas,06/30/2023,824151.0,57121.0,767030.0,775055.0,53724.0,721332.0,313656.0,35306.0,278349.0,96.0,10.0,86.0,663629.0,49489.0,614140.0,60235.0,5272.0,54964.0,3698.0,381.0,3316.0,9117.0,1014.0,8103.0,280.0,29.0,251.0,2040.0,158.0,1882.0,119.0,15.0,104.0
30,Texas,09/30/2023,790762.0,58101.0,732661.0,741493.0,54523.0,686970.0,313846.0,36091.0,277755.0,100.0,16.0,84.0,649906.0,50541.0,599365.0,58787.0,5166.0,53621.0,5482.0,554.0,4928.0,13297.0,1541.0,11756.0,367.0,39.0,327.0,3245.0,236.0,3009.0,171.0,26.0,145.0
31,Texas,12/31/2023,795647.0,60715.0,734931.0,748154.0,57016.0,691139.0,314993.0,37532.0,277461.0,83.0,21.0,62.0,656298.0,52536.0,603762.0,65739.0,5805.0,59934.0,6469.0,732.0,5737.0,17358.0,2091.0,15267.0,469.0,64.0,406.0,3999.0,335.0,3664.0,295.0,47.0,248.0
32,Texas,03/31/2024,770775.0,59777.0,710998.0,725181.0,56247.0,668934.0,315853.0,36462.0,279391.0,122.0,24.0,97.0,635633.0,51543.0,584089.0,66581.0,5682.0,60899.0,1591.0,166.0,1425.0,4070.0,508.0,3562.0,102.0,13.0,89.0,1107.0,76.0,1031.0,88.0,4.0,84.0
33,Texas,06/30/2024,769411.0,60963.0,708449.0,722314.0,57310.0,665003.0,329583.0,38000.0,291583.0,253.0,24.0,229.0,627694.0,52558.0,575137.0,69108.0,5916.0,63192.0,2749.0,357.0,2392.0,8276.0,1039.0,7238.0,199.0,27.0,172.0,2255.0,174.0,2080.0,165.0,9.0,156.0
34,Texas,09/30/2024,778303.0,61942.0,716360.0,732328.0,58282.0,674046.0,331068.0,38675.0,292393.0,155.0,27.0,128.0,635772.0,53380.0,582392.0,74972.0,6329.0,68643.0,4154.0,543.0,3610.0,12447.0,1582.0,10866.0,296.0,41.0,255.0,3256.0,263.0,2992.0,229.0,17.0,212.0
35,Texas,12/31/2024,781973.0,60722.0,721251.0,735376.0,57001.0,678375.0,333500.0,38922.0,294579.0,246.0,47.0,199.0,651942.0,52895.0,599047.0,73770.0,6093.0,67677.0,6121.0,737.0,5384.0,16995.0,2114.0,14881.0,400.0,58.0,342.0,4423.0,369.0,4054.0,356.0,38.0,318.0
36,Utah,12/31/2022,414904.0,6370.0,408534.0,388660.0,6032.0,382628.0,297545.0,3789.0,293756.0,15.0,0.0,15.0,345667.0,5107.0,340560.0,35297.0,952.0,34346.0,6961.0,283.0,6679.0,17224.0,391.0,16833.0,4139.0,57.0,4081.0,5251.0,332.0,4919.0,2569.0,39.0,2529.0
